user_id,username,password,user_role,email
1,pdavis,$24QhrZ*#b,user,karen90@rivera-miller.com
2,paul43,_q+^B5ZS5H,admin,grossmichael@hart.biz
3,xwalsh,4pHPw!1_+e,admin,johnsonmelissa@yahoo.com
4,stonedavid,_@KZefC8G8,admin,michaelbass@kelley.com
5,petersenwalter,Kc4NMFv^@E,admin,kaylarivera@morris.com
6,karamyers,21g)XPSo%R,admin,edwinrios@yahoo.com
7,ddean,F1J__ApI#6,admin,thomasholland@gmail.com
8,craig28,#p^PMoHwQ7,admin,shawneverett@avila-hughes.com
9,greenbarbara,6ynN0VCU+*,user,pwilkinson@gmail.com
10,briancampbell,@7#6tSw!&W,user,robert39@gmail.com
11,benjamin73,zy9*sEXd)q,admin,zjimenez@yahoo.com
12,michelle85,*#zNRww_6r,admin,maciasjenna@christensen.com
13,brittanysilva,$U%ID%yO*8,admin,wdavenport@white-miller.org
14,isaac53,#Zu6Di$%c5,admin,hendersondaniel@hotmail.com
15,kimberlycervantes,r7fwjE@W$@,user,marycarter@yahoo.com
16,mary00,o9PmaRFv_2,user,rubiodanielle@gomez-jones.net
17,pedroclark,8b_1Izfo(I,user,vscott@bowman.net
18,teresa31,a3zH8e_j(&,user,karina49@mathis-turner.net
19,jeffersondaniel,Yc8lSekd_6,admin,hoodmatthew@hotmail.com
20,mooremichael,SfA6Cxqy$C,user,alison71@dillon-newton.biz
